Day,EUR sales,USD sales,USD to EUR rate
8,0.63,0.94,0.932897401324
9,1.02,0.75,0.914137612102
10,1.28,0.71,0.906446687427
11,0.6,0.96,0.917792384316
12,0.92,0.7,0.900004349423
13,0.63,0.86,0.90792935635
14,0.79,0.64,0.884661298657
15,1.2,0.62,0.866275418867
16,0.99,1.21,0.887518227226
17,0.82,0.83,0.888424334647
18,1.12,0.72,0.886643136643
19,0.81,0.63,0.878509955031
20,0.71,1.27,0.898163758328
21,0.85,0.76,0.883369385845
22,0.7,1.49,0.906581514328
23,0.98,0.68,0.901377539085
24,0.67,1.08,0.905660724556
25,0.77,0.95,0.907923181014
26,1.01,0.71,0.897306234683
27,0.84,0.71,0.879111145106
28,0.6,0.68,0.867903180662
29,1.08,0.87,0.872046175696
30,0.96,0.7,0.855482727451
31,0.73,0.69,0.848131391067
32,0.66,0.63,0.841017964479
33,0.8,0.7,0.841309649524
34,0.69,0.78,0.842097481288
35,0.59,0.6,0.83574895551
36,0.88,0.92,0.841997681914
37,0.92,0.65,0.820403207858
38,0.75,0.74,0.818475259552
39,0.89,0.77,0.82012148407
40,0.65,0.72,0.805216037996
41,0.77,0.7,0.8018534086
42,1.02,0.76,0.802495527259
43,0.93,0.68,0.789496495884
44,0.89,0.83,0.792352160402
45,0.71,1.53,0.813419756777
46,0.87,0.72,0.806817209173
47,0.82,0.63,0.796958329641
48,0.79,0.69,0.795082963337
49,0.8,0.95,0.799816156708
50,0.92,0.71,0.79149607576
51,0.61,0.87,0.796033420547
52,0.64,0.68,0.79015155801
53,0.77,0.92,0.797454114796
54,0.72,1.28,0.804085127169
55,0.71,1.31,0.822618197482
56,1.09,0.76,0.801539881983
57,0.72,0.75,0.806154480061
58,0.67,1.26,0.816592100281
59,0.76,0.71,0.814096614235
60,0.69,1.12,0.827321647028
61,0.68,1.28,0.833146589718
62,0.75,1.13,0.847115637423
63,0.77,1.35,0.853926792703
64,0.74,0.84,0.858949559276
65,0.81,0.65,0.832174638448
66,0.73,0.7,0.82020055151
67,0.9,0.67,0.815889663438
68,0.98,0.71,0.78327858094
69,0.75,0.86,0.789964995414
70,0.84,0.74,0.789301146019
71,0.6,0.98,0.792595250397
72,0.51,1.21,0.799195355171
73,0.68,1.05,0.808469357741
74,0.66,0.76,0.80229889257
75,0.73,0.97,0.8082477516
76,0.86,0.64,0.797215302413
77,0.7,1.35,0.814059280873
78,0.68,1.3,0.820777204376
79,0.64,0.67,0.809036578645
80,1.07,0.65,0.787285813857
81,0.9,0.98,0.793066192314
82,0.94,0.7,0.790884093481
83,0.59,1.02,0.802851753118
84,0.71,1.53,0.836897754805
85,0.64,0.99,0.857642337259
86,0.71,1.07,0.869799376574
