Day,EUR sales,USD sales,USD to EUR rate
8,0.97,0.67,0.900547810463
9,1.08,0.71,0.900547810463
10,0.65,0.88,0.90489434837
11,0.66,1.16,0.913397459622
12,0.72,1.32,0.925685517452
13,0.68,0.85,0.941221474771
14,0.67,1.4,0.959326335692
15,0.72,1.16,0.979208830918
16,0.72,0.86,1.0
17,0.69,0.41,1.02079116908
18,0.74,0.68,1.04067366431
19,0.69,1.29,1.05877852523
20,0.64,0.98,1.07431448255
21,0.74,0.87,1.08660254038
22,0.54,1.18,1.09510565163
23,0.65,1.07,1.09945218954
24,0.69,0.88,1.09945218954
25,1.06,0.67,1.09510565163
26,1.33,0.76,1.08660254038
27,1.31,0.8,1.07431448255
28,0.83,0.6,1.05877852523
29,0.95,0.71,1.04067366431
30,0.94,0.66,1.02079116908
31,0.85,0.7,1.0
32,1.12,0.73,0.979208830918
33,1.31,0.68,0.959326335692
34,0.9,0.71,0.941221474771
35,1.22,0.77,0.925685517452
36,0.98,0.72,0.913397459622
37,0.76,0.76,0.90489434837
38,0.72,0.75,0.900547810463
39,1.07,0.63,0.900547810463
40,0.71,0.96,0.90489434837
41,0.71,1.17,0.913397459622
42,0.76,1.01,0.925685517452
43,0.67,0.8,0.941221474771
44,0.65,0.88,0.959326335692
45,0.64,1.22,0.979208830918
46,0.64,1.1,1.0
47,0.79,0.94,1.02079116908
48,0.68,0.99,1.04067366431
49,0.74,0.81,1.05877852523
50,0.71,0.97,1.07431448255
51,0.67,0.86,1.08660254038
52,0.74,1.15,1.09510565163
53,0.71,0.93,1.09945218954
54,0.7,0.93,1.09945218954
55,0.92,0.61,1.09510565163
56,0.94,0.68,1.08660254038
57,0.78,0.72,1.07431448255
58,1.33,0.66,1.05877852523
59,1.11,0.74,1.04067366431
60,0.94,0.71,1.02079116908
61,0.92,0.65,1.0
62,0.77,0.58,0.979208830918
63,0.92,0.73,0.959326335692
64,0.78,0.64,0.941221474771
65,1.16,0.77,0.925685517452
66,1.25,0.62,0.913397459622
67,0.65,0.7,0.90489434837
68,1.0,0.75,0.900547810463
69,0.93,0.76,0.900547810463
70,0.84,0.92,0.90489434837
71,0.74,1.12,0.913397459622
72,0.69,1.2,0.925685517452
73,0.75,1.0,0.941221474771
74,0.64,1.23,0.959326335692
75,0.66,0.95,0.979208830918
76,0.77,1.17,1.0
77,0.68,0.91,1.02079116908
78,0.63,1.02,1.04067366431
79,0.7,1.15,1.05877852523
80,0.63,0.72,1.07431448255
81,0.68,0.92,1.08660254038
82,0.71,1.26,1.09510565163
83,0.77,0.94,1.09945218954
84,0.66,0.71,1.09945218954
85,0.93,0.66,1.09510565163
86,0.8,0.67,1.08660254038
87,0.85,0.71,1.07431448255
88,0.98,0.71,1.05877852523
89,0.96,0.68,1.04067366431
90,1.27,0.63,1.02079116908
91,0.78,0.7,1.0
92,0.88,0.64,0.979208830918
93,0.83,0.65,0.959326335692
94,1.31,0.63,0.941221474771
95,1.29,0.77,0.925685517452
96,1.21,0.74,0.913397459622
97,0.66,0.75,0.90489434837
98,1.13,0.68,0.900547810463
99,0.88,0.66,0.900547810463
100,0.65,1.02,0.90489434837
101,0.66,1.12,0.913397459622
102,0.63,1.07,0.925685517452
103,0.69,0.85,0.941221474771
104,0.72,1.23,0.959326335692
105,0.65,1.18,0.979208830918
106,0.72,1.21,1.0
107,0.72,0.95,1.02079116908
108,0.64,1.04,1.04067366431
109,0.76,1.12,1.05877852523
110,0.65,0.98,1.07431448255
111,0.68,0.62,1.08660254038
112,0.64,0.92,1.09510565163
113,0.68,1.16,1.09945218954
114,0.62,0.87,1.09945218954
115,0.97,0.71,1.09510565163
116,1.04,0.75,1.08660254038
117,1.37,0.71,1.07431448255
118,0.99,0.58,1.05877852523
119,1.04,0.68,1.04067366431
120,1.43,0.67,1.02079116908
121,0.8,0.7,1.0
122,0.83,0.73,0.979208830918
123,0.87,0.66,0.959326335692
124,0.93,0.64,0.941221474771
125,0.84,0.64,0.925685517452
126,0.72,0.67,0.913397459622
127,0.81,0.71,0.90489434837
128,0.89,0.68,0.900547810463
129,1.1,0.65,0.900547810463
130,0.97,1.08,0.90489434837
131,0.66,0.79,0.913397459622
132,0.71,0.9,0.925685517452
133,0.68,0.95,0.941221474771
134,0.65,1.15,0.959326335692
135,0.78,1.07,0.979208830918
136,0.69,1.19,1.0
137,0.67,1.43,1.02079116908
138,0.67,0.75,1.04067366431
139,0.66,0.86,1.05877852523
140,0.75,0.88,1.07431448255
141,0.69,0.97,1.08660254038
142,0.73,0.69,1.09510565163
143,0.74,0.89,1.09945218954
144,0.65,0.7,1.09945218954
145,0.87,0.87,1.09510565163
146,0.96,0.65,1.08660254038
147,1.08,0.77,1.07431448255
148,1.18,0.56,1.05877852523
149,1.02,0.68,1.04067366431
150,1.26,0.61,1.02079116908
151,1.07,0.75,1.0
152,0.89,0.76,0.979208830918
153,0.74,0.71,0.959326335692
154,1.3,0.63,0.941221474771
155,0.87,0.78,0.925685517452
156,0.9,0.67,0.913397459622
157,1.05,0.65,0.90489434837
158,0.81,0.7,0.900547810463
159,0.63,0.71,0.900547810463
160,0.9,0.86,0.90489434837
161,0.67,0.99,0.913397459622
162,0.74,1.04,0.925685517452
163,0.59,0.81,0.941221474771
164,0.67,1.2,0.959326335692
165,0.71,1.29,0.979208830918
166,0.69,1.04,1.0
167,0.63,1.18,1.02079116908
168,0.7,1.15,1.04067366431
169,0.75,1.34,1.05877852523
170,0.75,0.74,1.07431448255
171,0.71,0.9,1.08660254038
172,0.71,1.14,1.09510565163
173,0.69,0.68,1.09945218954
174,0.71,0.76,1.09945218954
175,0.86,0.66,1.09510565163
176,0.61,0.71,1.08660254038
177,1.08,0.65,1.07431448255
178,0.98,0.67,1.05877852523
179,0.89,0.68,1.04067366431
180,1.05,0.73,1.02079116908
181,0.65,0.67,1.0
182,0.55,0.67,0.979208830918
183,0.94,0.71,0.959326335692
184,0.83,0.75,0.941221474771
185,0.99,0.72,0.925685517452
186,1.0,0.65,0.913397459622
187,1.21,0.68,0.90489434837
188,1.04,0.66,0.900547810463
189,0.59,0.8,0.900547810463
190,0.85,0.9,0.90489434837
191,0.74,0.92,0.913397459622
192,0.67,0.89,0.925685517452
193,0.68,1.01,0.941221474771
194,0.65,1.18,0.959326335692
195,0.61,0.67,0.979208830918
196,0.66,1.01,1.0
197,0.64,1.22,1.02079116908
198,0.62,1.09,1.04067366431
199,0.77,1.1,1.05877852523
200,0.78,0.73,1.07431448255
201,0.61,0.75,1.08660254038
202,0.72,0.98,1.09510565163
203,0.68,1.14,1.09945218954
204,0.69,0.99,1.09945218954
