Day,EUR sales,USD sales,USD to EUR rate
8,1.02,0.65,0.900547810463
9,0.67,0.71,0.900547810463
10,0.74,0.9,0.90489434837
11,0.62,1.1,0.913397459622
12,0.69,0.96,0.925685517452
13,0.76,0.86,0.941221474771
14,0.69,0.69,0.959326335692
15,0.71,0.72,0.979208830918
16,0.67,1.47,1.0
17,0.59,0.98,1.02079116908
18,0.73,1.09,1.04067366431
19,0.69,0.91,1.05877852523
20,0.74,0.75,1.07431448255
21,0.75,0.81,1.08660254038
22,0.69,0.96,1.09510565163
23,0.59,1.3,1.09945218954
24,0.61,0.76,1.09945218954
25,1.03,0.9,1.09510565163
26,1.3,0.71,1.08660254038
27,1.0,0.67,1.07431448255
28,0.98,0.78,1.05877852523
29,1.4,0.67,1.04067366431
30,1.15,0.69,1.02079116908
31,1.2,0.62,1.0
32,0.95,0.61,0.979208830918
33,0.89,0.7,0.959326335692
34,0.56,0.69,0.941221474771
35,0.82,0.66,0.925685517452
36,0.88,0.76,0.913397459622
37,0.84,0.71,0.90489434837
38,1.04,0.64,0.900547810463
39,0.92,0.72,0.900547810463
40,0.68,1.06,0.90489434837
41,0.6,1.04,0.913397459622
42,0.65,1.2,0.925685517452
43,0.67,0.9,0.941221474771
44,0.64,0.69,0.959326335692
45,0.74,1.08,0.979208830918
46,0.65,0.98,1.0
47,0.68,1.03,1.02079116908
48,0.62,0.76,1.04067366431
49,0.75,1.1,1.05877852523
50,0.53,1.22,1.07431448255
51,0.74,1.13,1.08660254038
52,0.72,0.67,1.09510565163
53,0.79,1.0,1.09945218954
54,0.73,0.73,1.09945218954
55,0.88,0.81,1.09510565163
56,1.06,0.67,1.08660254038
57,1.34,0.68,1.07431448255
58,1.19,0.7,1.05877852523
59,0.84,0.75,1.04067366431
60,0.88,0.76,1.02079116908
61,1.15,0.69,1.0
62,0.73,0.68,0.979208830918
63,0.77,0.71,0.959326335692
64,0.59,0.72,0.941221474771
65,0.98,0.72,0.925685517452
66,0.82,0.76,0.913397459622
67,0.76,0.74,0.90489434837
68,1.03,0.71,0.900547810463
69,1.16,0.66,0.900547810463
70,0.93,1.0,0.90489434837
71,0.61,1.1,0.913397459622
72,0.73,1.36,0.925685517452
73,0.65,1.18,0.941221474771
74,0.68,1.19,0.959326335692
75,0.74,0.94,0.979208830918
76,0.72,0.84,1.0
77,0.65,1.09,1.02079116908
78,0.74,1.24,1.04067366431
79,0.68,0.86,1.05877852523
80,0.74,0.97,1.07431448255
81,0.79,0.95,1.08660254038
82,0.58,0.56,1.09510565163
83,0.66,1.06,1.09945218954
84,0.67,0.77,1.09945218954
85,0.99,0.57,1.09510565163
86,1.17,0.73,1.08660254038
87,1.26,0.61,1.07431448255
88,1.31,0.73,1.05877852523
89,0.83,0.68,1.04067366431
90,1.21,0.72,1.02079116908
91,0.87,0.67,1.0
92,0.95,0.78,0.979208830918
93,0.86,0.72,0.959326335692
94,0.9,0.72,0.941221474771
95,0.44,0.79,0.925685517452
96,0.63,0.7,0.913397459622
97,0.94,0.74,0.90489434837
98,0.81,0.73,0.900547810463
99,0.94,0.69,0.900547810463
100,1.0,0.96,0.90489434837
101,0.61,1.43,0.913397459622
102,0.67,1.13,0.925685517452
103,0.69,1.16,0.941221474771
104,0.64,1.11,0.959326335692
105,0.62,1.0,0.979208830918
106,0.75,0.97,1.0
107,0.67,1.02,1.02079116908
108,0.62,1.05,1.04067366431
109,0.71,0.68,1.05877852523
110,0.7,0.7,1.07431448255
111,0.72,0.8,1.08660254038
112,0.65,0.94,1.09510565163
113,0.74,0.83,1.09945218954
114,0.79,1.0,1.09945218954
115,0.87,0.79,1.09510565163
116,1.09,0.64,1.08660254038
117,1.2,0.63,1.07431448255
118,1.0,0.71,1.05877852523
119,1.0,0.68,1.04067366431
120,1.15,0.75,1.02079116908
121,1.12,0.68,1.0
122,0.88,0.63,0.979208830918
123,0.89,0.61,0.959326335692
124,1.23,0.74,0.941221474771
125,1.18,0.69,0.925685517452
126,0.58,0.68,0.913397459622
127,1.1,0.76,0.90489434837
128,0.82,0.6,0.900547810463
129,0.96,0.73,0.900547810463
130,0.65,1.03,0.90489434837
131,0.6,0.94,0.913397459622
132,0.76,0.97,0.925685517452
133,0.74,1.05,0.941221474771
134,0.66,1.18,0.959326335692
135,0.56,1.39,0.979208830918
136,0.64,0.87,1.0
137,0.65,0.75,1.02079116908
138,0.67,0.87,1.04067366431
139,0.75,0.83,1.05877852523
140,0.77,0.63,1.07431448255
141,0.78,1.33,1.08660254038
142,0.77,0.9,1.09510565163
143,0.72,0.77,1.09945218954
144,0.7,0.9,1.09945218954
145,0.97,1.15,1.09510565163
146,1.01,0.7,1.08660254038
147,1.14,0.68,1.07431448255
148,1.0,0.61,1.05877852523
149,1.04,0.63,1.04067366431
150,1.22,0.66,1.02079116908
151,0.82,0.74,1.0
152,0.9,0.72,0.979208830918
153,0.71,0.74,0.959326335692
154,0.91,0.68,0.941221474771
155,1.07,0.69,0.925685517452
156,0.72,0.79,0.913397459622
157,0.68,0.77,0.90489434837
158,0.75,0.7,0.900547810463
159,0.6,0.77,0.900547810463
160,0.83,0.94,0.90489434837
161,0.67,0.87,0.913397459622
162,0.71,1.26,0.925685517452
163,0.69,0.88,0.941221474771
164,0.65,0.85,0.959326335692
165,0.72,0.9,0.979208830918
166,0.67,1.33,1.0
167,0.66,1.06,1.02079116908
168,0.65,1.19,1.04067366431
169,0.62,1.24,1.05877852523
170,0.67,0.86,1.07431448255
171,0.68,0.74,1.08660254038
172,0.63,0.94,1.09510565163
173,0.61,1.02,1.09945218954
174,0.67,0.91,1.09945218954
175,1.07,0.7,1.09510565163
176,1.08,0.71,1.08660254038
177,0.99,0.7,1.07431448255
178,1.38,0.68,1.05877852523
179,1.05,0.67,1.04067366431
180,1.1,0.72,1.02079116908
181,0.87,0.67,1.0
182,0.98,0.58,0.979208830918
183,1.1,0.76,0.959326335692
184,0.85,0.66,0.941221474771
185,1.19,0.68,0.925685517452
186,0.95,0.71,0.913397459622
187,0.79,0.74,0.90489434837
188,0.73,0.71,0.900547810463
189,1.07,0.74,0.900547810463
190,0.7,0.91,0.90489434837
191,0.66,1.12,0.913397459622
192,0.78,1.01,0.925685517452
193,0.66,0.94,0.941221474771
194,0.67,1.02,0.959326335692
195,0.6,0.82,0.979208830918
196,0.79,0.9,1.0
197,0.67,0.8,1.02079116908
198,0.7,0.96,1.04067366431
199,0.67,0.78,1.05877852523
200,0.7,0.84,1.07431448255
201,0.68,0.88,1.08660254038
202,0.69,0.61,1.09510565163
203,0.7,0.71,1.09945218954
204,0.71,0.87,1.09945218954
205,0.67,1.02,1.09510565163
206,1.16,0.63,1.08660254038
207,1.11,0.76,1.07431448255
208,0.96,0.67,1.05877852523
209,1.45,0.72,1.04067366431
210,1.3,0.69,1.02079116908
211,0.85,0.68,1.0
212,0.97,0.71,0.979208830918
213,0.91,0.7,0.959326335692
214,0.84,0.79,0.941221474771
215,0.66,0.71,0.925685517452
216,0.72,0.72,0.913397459622
217,0.98,0.69,0.90489434837
218,0.76,0.69,0.900547810463
219,0.84,0.65,0.900547810463
220,0.78,0.99,0.90489434837
221,0.78,1.02,0.913397459622
222,0.72,1.22,0.925685517452
223,0.68,0.8,0.941221474771
224,0.76,1.4,0.959326335692
225,0.68,1.03,0.979208830918
226,0.69,1.22,1.0
227,0.69,1.0,1.02079116908
228,0.67,1.14,1.04067366431
229,0.68,0.88,1.05877852523
230,0.71,1.07,1.07431448255
