Day,EUR sales,USD sales,USD to EUR rate
8,0.76,1.02,1.07541119596
9,0.73,1.08,1.08436199518
10,0.89,0.67,1.07578227221
11,0.72,0.89,1.08268354652
12,0.67,0.74,1.12460063484
13,0.96,0.75,1.09197010394
14,0.85,0.64,1.0878338386
15,0.71,0.88,1.10194227224
16,1.01,0.71,1.07727958234
17,1.11,0.59,1.0769378083
18,0.69,0.6,1.09262900519
19,1.29,0.71,1.06118368593
20,0.84,0.75,1.04749695718
21,0.94,0.67,1.03170247
22,0.95,0.55,1.02727855329
23,1.07,0.9,1.028837382
24,0.76,0.72,1.04861710401
25,0.69,0.91,1.04545730304
26,0.81,0.72,1.07936435659
27,0.7,0.94,1.08422822661
28,1.05,0.88,1.06910392301
29,0.64,0.6,1.07835937636
30,0.65,0.85,1.10137292777
31,0.89,0.98,1.08858775436
32,0.7,0.72,1.10189968461
33,0.69,1.34,1.10260380624
34,0.91,0.68,1.08978454257
35,1.2,0.66,1.0850774219
36,0.77,0.87,1.09695696431
37,1.06,0.71,1.05319264614
38,1.06,0.61,1.04543124683
39,1.24,0.74,1.03378112276
40,1.21,0.74,1.0040146377
41,0.69,0.83,1.00920584047
42,0.96,0.64,1.00370192181
43,0.88,0.74,0.986050758453
44,0.87,0.81,0.991581261924
45,0.7,0.82,0.999638551021
46,0.86,0.61,0.994233320457
47,0.67,0.74,1.00215168623
48,0.73,1.0,1.00032754441
49,0.72,1.07,1.00649044214
50,0.65,0.66,1.03438931202
51,0.63,0.86,1.0399227851
52,1.06,0.88,1.02901692316
53,0.79,1.06,1.06347352313
54,0.76,1.1,1.05660787097
55,0.76,0.97,1.09036018788
56,0.74,0.68,1.09640454062
57,0.75,0.85,1.09394335074
58,1.28,0.91,1.08373767244
59,0.91,0.69,1.0780674221
60,0.74,0.75,1.05881592635
61,1.05,0.65,1.0395911448
62,0.8,0.68,1.04069231824
63,0.68,0.8,1.04784850352
64,0.76,0.69,1.04443917508
65,0.74,0.75,1.04527818734
66,0.68,1.1,1.08321721827
67,0.62,0.75,1.0831217821
68,1.35,1.0,1.06992623143
69,0.95,0.65,1.06296912895
70,0.73,0.89,1.07803219976
71,1.31,0.69,1.05582753976
72,0.65,0.79,1.06177636103
73,0.73,0.83,1.08436827988
74,0.7,0.79,1.09800401315
75,1.1,0.87,1.08054969632
76,0.66,1.06,1.08887990516
77,1.05,0.7,1.07840219896
78,0.77,1.24,1.08814584443
79,0.74,0.86,1.10625740288
80,0.7,1.11,1.12183706722
81,0.7,0.64,1.14297764797
82,0.72,1.01,1.16799928592
83,1.02,1.08,1.15513623081
84,0.81,0.7,1.14460253963
85,0.7,0.98,1.1506037322
86,1.07,0.68,1.12498009528
87,1.0,0.71,1.12731943387
88,1.11,0.75,1.12378628246
89,1.23,0.65,1.11456747217
90,0.75,0.95,1.13304572226
91,1.15,0.7,1.11288503942
92,0.68,0.76,1.12249209366
93,0.89,0.78,1.11311454468
94,1.23,0.72,1.09251821715
95,0.97,0.74,1.07155340523
96,0.74,0.87,1.09279035453
97,0.65,0.99,1.09707453372
98,1.14,0.63,1.0859587437
99,0.6,1.3,1.10760889028
100,1.14,0.73,1.08601810094
101,1.09,0.66,1.07738132171
102,0.76,1.07,1.09903645617
103,1.21,0.65,1.07282483208
104,0.73,1.03,1.093268913
105,0.79,0.57,1.0908206789
106,0.67,0.71,1.09227760828
107,0.94,0.73,1.07741309605
108,0.76,0.83,1.09543061564
109,0.69,0.83,1.09610749286
110,0.72,0.78,1.10804512816
111,0.95,0.94,1.09745770169
112,1.14,0.74,1.0848911083
113,0.71,0.71,1.12229983715
114,0.95,0.73,1.10046905697
115,0.74,0.92,1.12484337085
116,0.94,0.72,1.10763900671
117,0.8,0.73,1.10594998963
118,0.75,0.84,1.11517248931
119,0.87,0.61,1.10509271801
120,0.7,0.68,1.12338264722
121,0.62,1.14,1.12512543388
122,0.66,0.74,1.14277678268
123,0.69,0.64,1.16043578547
124,0.91,1.0,1.14919730048
125,0.91,1.23,1.14276341439
126,0.68,1.08,1.14788998187
127,0.8,0.69,1.14276895713
128,0.69,0.85,1.14694936761
129,0.76,0.77,1.14269861249
130,0.71,0.91,1.15254642157
131,1.3,0.65,1.13988895338
132,0.85,0.65,1.13480502799
133,1.08,0.78,1.12258416818
134,1.09,0.73,1.1074575548
135,1.07,0.7,1.08028883839
136,1.02,0.72,1.07356085655
137,0.64,1.15,1.08860037807
138,0.72,0.69,1.0885637456
139,1.27,0.72,1.06902984186
140,0.66,0.65,1.04519825073
141,1.12,0.67,1.02286967459
142,1.02,0.73,1.01840614404
143,1.29,0.68,1.02151013233
144,1.11,0.62,1.0178754558
145,0.9,0.65,1.01151049644
146,0.97,0.81,1.01551839815
147,0.67,0.76,1.02428650035
148,0.66,1.08,1.03243948507
149,1.08,0.66,1.02211568648
150,0.65,0.75,1.02251428225
151,0.64,0.85,1.04375582653
152,0.7,1.2,1.04295149632
153,0.63,0.74,1.04499919782
154,0.68,0.92,1.0704483509
155,0.69,1.06,1.10334416002
156,0.67,0.93,1.12823105634
157,0.9,0.84,1.10585876551
158,0.97,0.66,1.0875265272
159,0.69,1.08,1.10906409959
160,0.64,0.94,1.12361614494
161,0.75,1.27,1.14936268184
162,0.71,1.02,1.17470560991
163,0.7,0.82,1.18644348215
164,0.65,0.86,1.1955186665
165,1.04,0.75,1.17679854201
166,1.0,0.64,1.15904176882
167,0.85,0.9,1.16488920582
168,0.73,0.77,1.16583630673
169,0.75,0.72,1.1833392349
170,1.2,0.63,1.15354707793
171,1.11,0.73,1.15623794754
172,1.31,0.64,1.14721133605
173,1.2,0.75,1.13628554713
174,0.62,0.91,1.14265542218
175,1.05,0.68,1.12051144879
176,1.04,0.72,1.10483536674
177,1.37,0.68,1.07446987128
178,1.27,0.63,1.06496133882
179,0.68,0.77,1.08443781337
180,0.69,1.16,1.12657504544
181,0.69,1.05,1.12709793695
182,0.94,0.64,1.11033052599
183,0.65,0.74,1.15017940469
184,0.96,0.87,1.12722592066
185,0.76,0.84,1.13875970212
186,0.63,0.64,1.16491852214
187,0.65,0.87,1.17087681156
188,0.92,0.76,1.14181070834
189,1.09,0.68,1.13232744775
190,1.27,0.81,1.11768775627
191,1.1,0.67,1.10017626025
192,0.76,0.84,1.12220821728
193,0.76,0.68,1.11518806987
194,0.73,1.01,1.12064779276
195,1.02,0.68,1.10744096186
196,1.07,0.66,1.10227107008
197,0.68,0.71,1.11928917933
198,0.71,0.83,1.12089519506
199,0.75,0.38,1.1372843386
200,0.87,1.02,1.13146972182
201,1.37,0.73,1.11194016703
202,1.19,0.66,1.09491112279
203,1.01,0.86,1.09754724849
204,0.65,0.83,1.11068199995
205,0.76,0.95,1.10890079136
206,0.9,0.69,1.08881295128
207,0.75,0.63,1.1034244024
208,1.15,0.73,1.08495815513
209,1.11,0.54,1.04579543659
210,1.11,0.71,1.03089062836
211,1.47,0.8,1.0360922652
212,0.67,0.79,1.05278926099
213,0.68,0.69,1.05784801246
214,1.01,1.01,1.05085330965
215,0.66,0.94,1.0651293431
216,0.84,1.03,1.06061579843
217,0.64,0.99,1.08373592503
218,0.99,0.9,1.06865232523
219,1.37,0.69,1.04365578967
220,0.8,0.73,1.04348198718
221,0.67,0.87,1.08254976501
222,0.78,1.28,1.07590524723
223,0.64,0.73,1.09185465654
224,0.72,1.05,1.11045035358
225,0.68,1.13,1.14341638497
226,0.78,0.83,1.14956356621
227,0.68,1.04,1.16521515927
228,0.76,0.68,1.16127629103
229,0.66,0.99,1.16525358288
230,0.63,1.11,1.17414942711
231,0.66,0.65,1.17858116316
232,0.67,0.76,1.18719591512
233,0.78,0.76,1.19275214749
234,0.67,0.82,1.2118156936
235,0.65,0.77,1.23022270183
236,0.82,0.87,1.2252255332
237,1.01,0.88,1.21694640177
238,0.6,0.84,1.22377608526
239,0.69,1.06,1.22750115412
240,1.29,0.66,1.21199474316
241,1.27,0.59,1.208407615
242,1.22,0.67,1.18635833195
243,0.81,0.68,1.1897199382
244,1.21,0.66,1.16918959701
245,1.0,0.65,1.15231820142
246,1.22,0.58,1.12060458762
247,0.77,0.63,1.09447534877
248,1.19,0.73,1.07533895508
249,1.04,0.68,1.04914193733
250,0.64,0.77,1.05629534793
251,0.81,0.69,1.04835289398
252,0.71,0.92,1.07132429913
253,1.02,0.68,1.05636835326
254,0.65,0.72,1.06285011665
255,0.98,0.63,1.04697275345
256,1.27,0.71,1.04207912808
257,1.1,0.68,1.02420404712
258,0.91,0.82,1.02983881223
259,0.74,0.7,1.02006413641
260,1.01,0.71,1.01449961138
261,0.71,1.11,1.02852104443
262,0.8,0.71,1.01504023638
263,0.94,0.69,1.00769890445
264,0.9,0.75,1.00889895381
265,0.72,1.0,1.01588340687
266,0.72,0.88,1.01751185539
267,0.66,1.1,1.02107028335
268,0.64,0.9,1.04094905288
269,0.66,1.04,1.05261797459
270,0.71,0.91,1.06076156629
271,0.76,0.87,1.06031577052
272,0.73,1.09,1.06537451606
273,0.72,0.77,1.07677295937
274,0.78,0.98,1.0828378301
275,0.65,1.04,1.08450634393
276,1.19,0.64,1.06316991466
277,0.72,0.94,1.07137967505
278,0.75,0.7,1.07297688104
279,1.08,0.75,1.06622887824
280,0.68,0.83,1.07060900473
281,0.73,1.05,1.08050552021
282,0.96,0.66,1.06663373056
283,1.06,0.6,1.03850203156
284,1.13,0.6,1.02829091706
285,1.09,0.8,1.02964982431
286,1.13,0.72,1.01623695865
287,0.97,0.64,0.983962795188
288,1.0,0.8,0.995234623341
289,0.67,1.12,1.0187960074
290,0.67,0.67,1.0346837851
291,0.96,0.68,1.01153795837
292,0.75,1.07,1.02628196907
293,1.37,0.68,0.998738355241
294,1.07,0.69,0.985946527414
295,0.8,0.65,0.979549337483
296,0.97,0.75,0.955927099763
297,1.02,0.71,0.923387171599
298,0.65,0.99,0.949969757208
299,0.89,0.7,0.939990094087
