Day,EUR sales,USD sales,USD to EUR rate
8,0.84,0.76,0.900547810463
9,0.96,0.64,0.900547810463
10,0.67,1.04,0.90489434837
11,0.65,1.21,0.913397459622
12,0.74,1.02,0.925685517452
13,0.72,0.96,0.941221474771
14,0.74,0.86,0.959326335692
15,0.67,0.72,0.979208830918
16,0.59,0.77,1.0
17,0.7,1.03,1.02079116908
18,0.64,0.9,1.04067366431
19,0.74,0.71,1.05877852523
20,0.73,0.81,1.07431448255
21,0.71,1.19,1.08660254038
22,0.65,1.26,1.09510565163
23,0.72,0.65,1.09945218954
24,0.67,0.89,1.09945218954
25,0.93,0.62,1.09510565163
26,1.11,0.61,1.08660254038
27,0.96,0.64,1.07431448255
28,1.21,0.72,1.05877852523
29,1.15,0.72,1.04067366431
30,1.3,0.68,1.02079116908
31,0.73,0.66,1.0
32,0.98,0.72,0.979208830918
33,1.0,0.66,0.959326335692
34,0.85,0.72,0.941221474771
35,0.95,0.68,0.925685517452
36,1.13,0.77,0.913397459622
37,0.94,0.67,0.90489434837
38,0.95,0.62,0.900547810463
39,1.09,0.68,0.900547810463
40,0.68,0.6,0.90489434837
41,0.72,1.29,0.913397459622
42,0.65,1.19,0.925685517452
43,0.63,1.08,0.941221474771
44,0.67,0.94,0.959326335692
45,0.6,0.94,0.979208830918
46,0.72,1.05,1.0
47,0.72,1.07,1.02079116908
48,0.7,0.91,1.04067366431
49,0.71,0.85,1.05877852523
50,0.64,0.81,1.07431448255
51,0.71,1.05,1.08660254038
52,0.72,0.87,1.09510565163
53,0.63,0.81,1.09945218954
54,0.65,1.07,1.09945218954
55,1.04,0.95,1.09510565163
56,1.05,0.68,1.08660254038
57,1.07,0.68,1.07431448255
58,1.25,0.82,1.05877852523
59,1.03,0.69,1.04067366431
60,0.74,0.65,1.02079116908
61,0.86,0.75,1.0
62,1.06,0.76,0.979208830918
63,1.04,0.74,0.959326335692
64,1.28,0.77,0.941221474771
65,0.9,0.63,0.925685517452
66,0.82,0.66,0.913397459622
67,1.0,0.7,0.90489434837
68,0.71,0.64,0.900547810463
69,0.86,0.69,0.900547810463
70,0.97,0.93,0.90489434837
71,0.71,1.16,0.913397459622
72,0.7,1.24,0.925685517452
73,0.66,0.91,0.941221474771
74,0.62,1.08,0.959326335692
75,0.69,1.15,0.979208830918
76,0.7,0.93,1.0
77,0.71,0.99,1.02079116908
78,0.62,0.72,1.04067366431
79,0.66,1.03,1.05877852523
80,0.69,0.92,1.07431448255
81,0.69,0.64,1.08660254038
82,0.67,0.97,1.09510565163
