Day,EUR sales,USD sales,USD to EUR rate
8,1.21,0.74,0.900547810463
9,0.84,0.6,0.900547810463
10,0.63,0.95,0.90489434837
11,0.71,1.42,0.913397459622
12,0.71,1.41,0.925685517452
13,0.63,0.94,0.941221474771
14,0.7,0.99,0.959326335692
15,0.72,1.13,0.979208830918
16,0.69,0.65,1.0
17,0.7,0.93,1.02079116908
18,0.58,1.02,1.04067366431
19,0.76,1.07,1.05877852523
20,0.71,1.03,1.07431448255
21,0.71,0.9,1.08660254038
22,0.62,1.17,1.09510565163
23,0.64,0.74,1.09945218954
24,0.67,0.99,1.09945218954
25,0.94,0.64,1.09510565163
26,1.03,0.58,1.08660254038
27,0.92,0.71,1.07431448255
28,1.06,0.68,1.05877852523
29,1.13,0.75,1.04067366431
30,0.94,0.73,1.02079116908
31,1.14,0.66,1.0
32,0.87,0.69,0.979208830918
33,1.16,0.81,0.959326335692
34,1.01,0.61,0.941221474771
35,0.86,0.65,0.925685517452
36,1.19,0.71,0.913397459622
37,1.17,0.63,0.90489434837
38,0.89,0.67,0.900547810463
39,1.04,0.71,0.900547810463
40,0.74,1.04,0.90489434837
41,0.71,0.98,0.913397459622
42,0.65,1.4,0.925685517452
43,0.7,1.22,0.941221474771
44,0.69,0.86,0.959326335692
45,0.79,0.93,0.979208830918
46,0.59,1.09,1.0
47,0.68,1.0,1.02079116908
48,0.61,1.19,1.04067366431
49,0.71,0.96,1.05877852523
50,0.74,0.92,1.07431448255
51,0.63,1.05,1.08660254038
52,0.74,0.87,1.09510565163
53,0.7,1.0,1.09945218954
54,0.72,0.82,1.09945218954
55,0.88,0.74,1.09510565163
56,1.38,0.73,1.08660254038
57,1.31,0.19,1.07431448255
58,1.14,0.7,1.05877852523
59,1.18,0.62,1.04067366431
60,1.02,0.72,1.02079116908
61,0.54,0.72,1.0
62,0.84,0.69,0.979208830918
63,1.03,0.6,0.959326335692
64,0.96,0.62,0.941221474771
65,0.94,0.74,0.925685517452
66,0.78,0.67,0.913397459622
67,0.78,0.59,0.90489434837
68,0.88,0.71,0.900547810463
69,0.72,0.78,0.900547810463
70,0.58,0.93,0.90489434837
71,0.73,1.11,0.913397459622
72,0.74,1.17,0.925685517452
73,0.62,1.33,0.941221474771
